query,url,video_id,alternatives,error,resolved_query
DJMAX RESPECT V !!New Game Start!!,https://www.youtube.com/watch?v=VJrVRkcBh-A,VJrVRkcBh-A,https://www.youtube.com/watch?v=Qv71QAZA-Vo https://www.youtube.com/watch?v=pjxfZNkzH_s,,
DJMAX RESPECT V #1f1e33,https://www.youtube.com/watch?v=Zzbiz945q4g,Zzbiz945q4g,https://www.youtube.com/watch?v=GsxSbgyhHNU https://www.youtube.com/watch?v=wy67Lp1gIgQ,,
DJMAX RESPECT V 1! 2! 3! 4! Streaming rn CHU!,https://www.youtube.com/watch?v=XrosmO1bWrk,XrosmO1bWrk,https://www.youtube.com/watch?v=Wttl9MEg8n8 https://www.youtube.com/watch?v=d59_zCSRzUI,,
DJMAX RESPECT V 3:33,https://www.youtube.com/watch?v=U2VW74sAeas,U2VW74sAeas,https://www.youtube.com/watch?v=7QfyLEv_T4Q https://www.youtube.com/watch?v=i_fvXOlijvw,,
DJMAX RESPECT V AD2222,https://www.youtube.com/watch?v=2z3xJtppjW4,2z3xJtppjW4,https://www.youtube.com/watch?v=kGSZbtAqj2o https://www.youtube.com/watch?v=ryvIlLlqlhQ,,
DJMAX RESPECT V Airlock,https://www.youtube.com/watch?v=TxxZFoCyO9Y,TxxZFoCyO9Y,https://www.youtube.com/watch?v=bWrLtsOILF4 https://www.youtube.com/watch?v=mm_RicCTqfo,,
DJMAX RESPECT V Airwave,https://www.youtube.com/watch?v=TE8ChoO0Cu8,TE8ChoO0Cu8,https://www.youtube.com/watch?v=6NEoYMXYkso https://www.youtube.com/watch?v=0KiK21l0Uig,,
DJMAX RESPECT V alliance,https://www.youtube.com/watch?v=Y-AC9hNp-Vk,Y-AC9hNp-Vk,https://www.youtube.com/watch?v=o9ovrnKiT4g https://www.youtube.com/watch?v=J-9cwxFqgnY,,
DJMAX RESPECT V ALTER/ƏgØ,https://www.youtube.com/watch?v=MtDpqGhOOZ4,MtDpqGhOOZ4,https://www.youtube.com/watch?v=aTXn1-4bz64 https://www.youtube.com/watch?v=p0qnLLhH48Q,,
DJMAX RESPECT V ANALYS,https://www.youtube.com/watch?v=rjMVoPxw3l4,rjMVoPxw3l4,https://www.youtube.com/watch?v=k4io_Sxu8d8 https://www.youtube.com/watch?v=nR6fCYe4RR0,,
DJMAX RESPECT V And Revive The Melody,https://www.youtube.com/watch?v=DCCLy3yDXcs,DCCLy3yDXcs,https://www.youtube.com/watch?v=EBT-LE9Pui8 https://www.youtube.com/watch?v=sXP4_G2CN3Q,,
